Algorithm,Preprocessing,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
KMeans,No Processing,3,0.551191604619592,561.5937320156642,0.6660385791628493
KMeans,No Processing,4,0.49764331793219224,529.5290949944819,0.7541404230958464
KMeans,No Processing,5,0.4930804067193521,495.24341371472735,0.8193844948350408
Hierarchical,No Processing,3,0.5543236611296419,558.0580408128307,0.6562564540642021
Hierarchical,No Processing,4,0.4889670857554692,515.0789062430442,0.7952637917518272
Hierarchical,No Processing,5,0.48438258927905953,488.4849040365162,0.8204166609646473
MeanShift,No Processing,Auto,0.6857881712617192,509.7034266772457,0.3885516762710371
KMeans,Normalization,3,0.48292893354301647,351.29506405605156,0.7867328111284443
KMeans,Normalization,4,0.4439328545809961,313.8929250838776,0.9081552046439536
KMeans,Normalization,5,0.42270440250672353,263.17332519371126,0.992855632636628
Hierarchical,Normalization,3,0.5047999262278894,349.2541845059015,0.7479765230789547
Hierarchical,Normalization,4,0.43303613607091695,301.10401533247824,0.8485976348231026
Hierarchical,Normalization,5,0.3492635711930099,272.02426066815764,0.9057872374338295
MeanShift,Normalization,Auto,0.6300471284354711,354.36555591073966,0.4861670617644721
KMeans,Transformation,3,0.5718780856576703,502.48743030162456,0.9375430291814629
KMeans,Transformation,4,0.3928125155703194,721.7542993380611,1.0282849114528734
KMeans,Transformation,5,0.32670988767860576,715.1679994514158,1.0668969646104318
Hierarchical,Transformation,3,0.5715763084020384,974.1762284994965,0.628270922724874
Hierarchical,Transformation,4,0.5010115309316047,786.6631319587631,0.7238079951451862
Hierarchical,Transformation,5,0.42920849986577725,671.4957693111089,0.8431058989288314
MeanShift,Transformation,Auto,0.7649324341154611,951.6090935639724,0.30304672850789216
KMeans,PCA,3,0.5976764219547994,693.7084334188484,0.5648157434964123
KMeans,PCA,4,0.5577409232246785,719.1235440488664,0.6150686747805234
KMeans,PCA,5,0.5100407194899201,642.0606658009178,0.7525002644783108
Hierarchical,PCA,3,0.5984750353705444,688.6175478020382,0.5604962418488765
Hierarchical,PCA,4,0.5409772344736492,673.9462643465888,0.6546236191154553
Hierarchical,PCA,5,0.5487843719847738,665.8831120635568,0.6525734875175679
MeanShift,PCA,Auto,0.7103108365955948,565.7340515858798,0.35505921218056113
KMeans,T+N,3,0.4905698071453003,439.8505412458688,0.7759642481633345
KMeans,T+N,4,0.37813774217069884,353.5098553504448,0.9450423845226591
KMeans,T+N,5,0.3310382538313862,342.6906531701072,1.0145986889085266
Hierarchical,T+N,3,0.47663353814037407,406.3703052515642,0.7697159546343596
Hierarchical,T+N,4,0.4222783281247149,347.6993889856933,0.8826796159090976
Hierarchical,T+N,5,0.3175869204263777,323.14064355265486,1.002001180032869
MeanShift,T+N,Auto,0.6806959333713305,488.9305027844251,0.4334918472030668
KMeans,T+N+PCA,3,0.6011700219258483,329.1015481109477,0.6083027937351863
KMeans,T+N+PCA,4,0.4557044259244638,488.7427014535317,0.7614802410106268
KMeans,T+N+PCA,5,0.42473816919214286,523.484384725902,0.7919164551351413
Hierarchical,T+N+PCA,3,0.5330096952952083,504.3319388089292,0.5927263898473017
Hierarchical,T+N+PCA,4,0.5024526298443179,479.35331080440454,0.624032397437247
Hierarchical,T+N+PCA,5,0.40890984261929525,476.464384202075,0.7217396760300142
MeanShift,T+N+PCA,Auto,0.7141957716446888,572.3693661223733,0.3843421425664292
